adname,tel,address,business_area,name,lon,lat
万柏林区,0351-6342160,西峪街神堂沟,null,龙泉派出所,112.486947,37.801116
万柏林区,0351-6066665,大众街12号,千峰,和平南路派出所,112.512018,37.848689
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",NULL,兴华街,兴华小区派出所,112.522321,37.883714
万柏林区,0351-6361035,玉河街21号,和平北路,和平北路派出所,112.506422,37.869465
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",和平北路5号,兴华,长安派出所,112.506166,37.893547
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",晋祠路附近,NULL,长风派出所市场警务室,112.5157,37.810308
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",漪兴路与永乐南街交叉口西南240米,漪汾,校园警务室,112.523859,37.875992
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",后北屯街太原市万柏林区后北屯小学,千峰,玉河派出所治安警区,112.519559,37.868527
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",公园路与千峰西一巷交叉口西北120米,下元,太理中幼警务室,112.513619,37.862095
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",西三巷嘉苑小区,下元,西巷社区警务室,112.507854,37.864244
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",玉河街与迎宾路交叉口东40米,NULL,太重技校警务室,112.50479,37.869226
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",后王街与众纺路交叉口西200米,下元,校园警务室,112.512803,37.851274
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",千峰北路与千峰西一巷交叉口北60米,千峰,校园警务室,112.518487,37.862201
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",西矿街136号,迎泽西大街,红旗社区警务室,112.493296,37.861373
万柏林区,0351-6211110,西矿街328号,南寒羊汤馆(南寒圣都店),北寒派出所,112.456596,37.852621
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",和平北路北巷与晋机路交叉口东北140米,和平北路,新友谊社区警务室,112.508093,37.895126
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",九院沙河北沿岸与滨河西路辅路交叉口西100米,NULL,汇锦花园警务室,112.538663,37.827913
万柏林区,0351-6180110,千峰南路九院沙河南岸口,千峰,长风派出所,112.519573,37.829838
万柏林区,"资料暂未齐全,请拨打110,告诉警察你所在区域的地址及标志地物",西矿街山西综改示范区滨西工业园,西矿街,滨西工业园警务室,112.488129,37.862182
